	RD118	RD122	RD124	RD126	RD127	RD128	RD130	RD131	RD132	RD162	RD165	RD166	RD167	RD168	RD169	RD170	RD171	RD172	RD173	RD174	RDneg	taxonomy
ASV_372	17	13	46	80	36	22	11	39	69	32	0	109	32	111	101	0	5	0	8	120	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;GCA-900066575;
ASV_423	0	0	63	68	0	55	0	0	48	49	0	70	67	70	0	0	45	0	0	122	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;GCA-900066575;
ASV_424	7	13	66	110	34	23	0	33	40	35	0	26	46	75	16	0	40	17	23	27	16	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;GCA-900066575;
ASV_312	37	12	71	35	36	77	82	12	95	41	0	96	20	49	24	0	87	151	33	155	90	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;
ASV_334	0	0	13	730	25	13	0	0	13	0	0	146	0	14	7	0	0	0	10	0	32	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;
ASV_413	20	13	28	77	37	23	0	59	32	0	75	0	40	70	29	48	26	0	0	80	25	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae FCS020 group;
ASV_425	0	0	22	99	31	17	11	0	14	33	60	44	25	51	20	23	57	20	62	58	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae FCS020 group;
ASV_2	3506	2198	42274	6110	13814	7195	0	9200	28440	537	7831	15998	17950	25339	10982	2449	5113	0	5486	12654	5011	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NK4A136 group;
ASV_66	980	112	174	153	435	714	0	146	1738	766	0	1343	1515	16	1340	0	1180	0	0	44	685	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NK4A136 group;
ASV_71	0	0	0	4528	1606	0	9	1975	100	0	259	28	0	61	0	1293	584	0	0	0	5	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NK4A136 group;
ASV_87	23	100	31	0	0	0	69	104	80	48	0	0	75	3404	0	0	0	0	1123	3134	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NK4A136 group;
ASV_101	455	289	0	515	43	0	0	27	70	1942	0	67	227	44	502	0	39	1569	0	100	200	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NK4A136 group;
ASV_106	489	177	0	543	0	0	0	0	60	2224	0	77	233	0	453	0	38	1234	0	0	233	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NK4A136 group;
ASV_148	21	24	315	1166	137	371	48	114	520	86	0	51	236	254	154	0	0	55	36	119	53	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NK4A136 group;
ASV_149	0	0	595	1647	166	0	47	255	177	422	55	52	13	103	47	0	0	0	0	152	10	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NK4A136 group;
ASV_156	0	0	0	0	0	89	0	0	0	0	0	2511	0	0	0	0	0	0	78	0	942	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NK4A136 group;
ASV_162	0	0	450	0	0	3	0	0	0	44	0	986	0	0	0	115	0	0	436	1041	318	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NK4A136 group;
ASV_174	33	13	663	140	38	15	0	17	163	703	82	327	24	229	87	0	40	130	0	261	118	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NK4A136 group;
ASV_190	241	122	0	185	85	5	0	33	47	0	52	111	197	788	587	0	189	38	4	38	17	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NK4A136 group;
ASV_197	10	14	25	529	48	132	6	20	90	158	0	307	169	407	98	0	78	0	201	347	62	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NK4A136 group;
ASV_219	11	93	0	1081	230	132	60	30	0	0	0	0	188	244	14	0	11	0	19	127	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NK4A136 group;
ASV_242	0	0	10	70	0	0	0	96	0	0	647	190	32	129	27	114	255	0	267	15	32	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NK4A136 group;
ASV_250	223	139	0	205	0	0	0	0	0	898	0	38	123	0	134	0	0	48	0	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NK4A136 group;
ASV_274	0	0	704	28	0	0	0	0	0	0	0	97	0	55	0	0	0	626	0	0	75	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NK4A136 group;
ASV_282	0	0	61	122	169	0	0	73	47	54	0	24	42	251	121	0	8	166	130	273	4	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NK4A136 group;
ASV_295	0	21	0	879	72	15	0	15	24	0	0	80	0	0	0	0	0	0	54	161	77	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NK4A136 group;
ASV_336	85	0	0	0	45	0	0	0	307	0	0	119	143	0	0	0	254	0	0	0	39	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NK4A136 group;
ASV_386	97	0	0	0	0	0	0	0	0	0	0	0	73	304	234	0	71	0	0	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NK4A136 group;
ASV_407	0	0	0	61	67	81	0	0	0	41	0	87	28	53	42	0	0	85	0	117	35	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NK4A136 group;
ASV_409	0	0	0	0	0	0	0	0	15	0	260	0	0	0	0	93	0	0	0	323	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NK4A136 group;
ASV_414	0	0	170	178	0	0	0	0	31	0	0	0	0	0	0	0	0	87	91	85	37	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NK4A136 group;
ASV_419	92	0	0	0	0	0	0	0	0	0	0	0	64	229	224	0	59	0	0	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NK4A136 group;
ASV_430	0	25	12	68	111	49	13	63	31	0	0	41	35	63	77	4	40	0	0	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NK4A136 group;
ASV_447	0	0	0	61	0	0	0	0	0	100	0	0	0	93	0	0	0	163	47	55	26	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NK4A136 group;
ASV_458	0	0	0	0	33	139	0	0	71	29	0	114	31	0	0	0	0	0	0	0	55	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NK4A136 group;
ASV_67	0	42	338	22	621	29	0	1395	70	0	1379	1327	25	686	0	66	518	2581	220	831	1003	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-001;
ASV_73	139	0	0	4694	54	0	0	316	171	127	58	0	0	427	92	217	0	1845	264	1430	327	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-001;
ASV_139	25	0	0	1906	16	0	0	186	47	45	20	0	0	128	18	69	0	801	99	614	90	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-001;
ASV_160	36	40	112	502	518	69	0	238	405	0	0	70	272	282	0	26	202	285	272	91	91	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-001;
ASV_193	0	0	0	1495	0	0	0	72	0	0	0	0	0	0	0	0	0	591	0	440	125	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-001;
ASV_194	0	0	116	0	256	27	0	148	0	0	463	626	0	252	0	19	230	51	77	314	137	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-001;
ASV_195	0	0	133	0	262	0	0	131	0	9	479	573	0	274	0	0	155	0	92	331	275	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-001;
ASV_298	52	151	63	153	55	133	0	37	22	45	0	101	73	195	31	0	0	66	0	156	45	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-001;
ASV_337	0	0	54	278	39	0	0	47	0	0	0	0	48	90	12	0	47	193	116	35	25	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-001;
ASV_340	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0	695	0	0	136	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-001;
ASV_360	0	0	301	77	47	68	0	0	0	0	0	78	0	120	54	3	0	0	37	82	36	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-001;
ASV_62	297	14	0	1347	1106	124	57	1892	4004	368	5	161	828	337	0	28	898	0	665	9	44	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-006;
ASV_116	129	87	32	734	148	176	74	222	161	156	30	236	121	1352	314	122	177	82	349	287	53	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-006;
ASV_120	13	127	202	568	996	8	0	726	162	0	0	424	48	291	53	0	70	0	56	884	162	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-006;
ASV_155	41	8	58	434	173	208	0	0	198	5	0	185	27	234	52	0	68	1553	28	114	259	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-006;
ASV_178	18	43	79	1452	235	69	11	154	62	97	7	115	47	160	45	10	50	43	70	230	32	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-006;
ASV_329	42	53	15	245	103	0	0	0	57	53	0	33	0	230	42	0	0	95	11	26	63	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-006;
ASV_339	0	10	46	101	69	26	0	80	56	175	0	73	17	83	25	40	6	0	44	59	67	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-006;
ASV_387	0	18	0	102	37	45	0	127	44	0	0	0	46	97	0	31	94	30	107	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-006;
ASV_398	0	22	26	89	22	68	0	0	24	62	0	135	16	56	48	0	58	63	0	0	46	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-006;
ASV_456	27	0	0	0	0	0	14	0	62	38	0	53	56	86	59	0	0	0	0	70	17	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-006;
ASV_41	545	808	105	0	2865	0	0	727	839	0	0	108	1237	12872	0	0	0	0	1407	974	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-008;
ASV_70	1602	0	1187	0	0	0	0	25	1152	515	0	2055	0	519	2205	0	0	596	0	142	641	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-008;
ASV_77	0	720	0	79	0	18	0	60	0	0	219	501	553	2813	322	449	605	0	1675	1111	155	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-008;
ASV_114	0	0	0	23	0	632	0	632	0	0	2299	481	0	0	85	428	137	0	0	282	72	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-008;
ASV_196	0	0	0	0	0	328	0	355	0	0	1228	238	0	0	33	237	84	0	0	146	61	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-008;
ASV_201	40	18	22	615	332	78	4	94	49	21	129	116	44	83	150	114	5	85	22	596	49	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-008;
ASV_208	0	0	0	0	0	307	0	309	0	0	1176	246	0	0	0	208	66	0	0	149	94	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-008;
ASV_269	31	0	13	136	19	41	0	20	82	23	0	132	69	247	642	19	35	23	35	0	52	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-008;
ASV_287	20	30	7	373	41	27	18	323	36	0	12	0	0	188	29	0	0	121	59	186	33	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-008;
ASV_370	0	0	86	39	24	70	10	0	0	217	0	0	12	135	106	5	40	0	16	98	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-008;
ASV_216	361	257	0	61	118	127	338	0	0	44	128	64	55	74	57	66	38	61	416	0	33	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Marvinbryantia;
ASV_228	218	179	0	65	109	109	197	54	0	47	76	69	116	0	99	77	43	67	550	41	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Marvinbryantia;
ASV_238	425	353	0	88	0	0	283	0	0	0	144	0	61	0	93	0	0	0	488	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Marvinbryantia;
ASV_257	16	0	74	162	122	82	64	58	62	92	0	189	138	159	94	0	44	21	84	170	130	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Marvinbryantia;
ASV_408	190	56	0	44	96	78	0	6	36	8	8	5	0	0	4	112	15	0	13	22	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Marvinbryantia;
ASV_415	0	0	0	70	0	77	0	21	0	41	0	33	65	0	70	56	25	65	155	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Marvinbryantia;
ASV_64	806	20	0	80	23	1114	27	18	190	1271	750	1653	1877	1755	609	5	336	0	84	295	704	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;
ASV_271	55	19	0	266	307	0	0	94	145	0	0	0	0	107	159	10	10	73	164	196	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;
ASV_290	0	0	0	17	0	0	0	0	0	0	0	18	0	0	0	0	0	349	0	1071	16	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;
ASV_292	19	14	254	338	54	34	0	17	91	59	0	269	31	36	20	0	31	74	29	9	67	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;
ASV_320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	284	0	810	42	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;
ASV_324	9	0	0	10	16	0	0	4	76	0	0	811	0	0	0	0	0	0	0	8	189	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;
ASV_351	6	0	483	0	86	0	0	0	22	0	0	198	0	0	0	0	24	0	28	53	32	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;
ASV_359	0	0	0	221	0	0	0	49	223	244	0	0	5	0	0	0	41	82	0	0	40	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;
ASV_433	0	0	0	0	0	0	0	0	0	0	0	122	20	335	30	0	0	0	0	62	43	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;
ASV_435	0	0	0	93	9	0	0	9	12	8	25	0	9	189	7	0	18	89	23	86	29	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;
ASV_448	0	8	110	56	0	37	13	0	5	95	0	15	32	0	24	0	38	59	11	14	15	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;
ASV_244	20	13	375	161	100	41	61	141	158	52	61	86	67	151	42	31	27	29	89	129	27	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Tuzzerella;
ASV_293	216	637	43	16	88	198	0	0	90	56	10	0	5	0	0	0	0	0	67	0	0	Bacteria;Firmicutes;Clostridia;Monoglobales;Monoglobaceae;Monoglobus;
ASV_171	35	27	346	136	148	62	0	91	86	111	43	323	156	456	247	0	105	171	117	371	142	Bacteria;Firmicutes;Clostridia;Oscillospirales;;;
ASV_209	18	170	358	46	307	134	0	12	16	0	0	669	31	10	0	321	218	0	16	32	170	Bacteria;Firmicutes;Clostridia;Oscillospirales;;;
ASV_231	8	0	196	78	47	29	37	15	42	73	0	255	52	710	141	0	13	19	139	99	81	Bacteria;Firmicutes;Clostridia;Oscillospirales;;;
ASV_348	0	0	57	150	61	26	0	33	49	28	0	102	60	109	47	4	106	10	46	48	14	Bacteria;Firmicutes;Clostridia;Oscillospirales;;;
ASV_412	0	26	236	109	59	22	0	0	235	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;;;
ASV_426	7	12	28	116	38	26	3	0	26	23	3	88	0	74	28	11	35	43	30	35	20	Bacteria;Firmicutes;Clostridia;Oscillospirales;;;
ASV_142	280	13	0	260	253	278	236	189	218	0	196	84	297	102	238	756	256	0	0	236	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;[Eubacterium] coprostanoligenes group;;
ASV_158	274	71	84	20	0	354	385	72	130	591	69	138	15	49	563	0	50	2	657	0	21	Bacteria;Firmicutes;Clostridia;Oscillospirales;[Eubacterium] coprostanoligenes group;;
ASV_189	68	117	201	0	318	72	0	128	128	180	0	111	142	143	226	0	0	258	168	420	66	Bacteria;Firmicutes;Clostridia;Oscillospirales;Butyricicoccaceae;Butyricicoccus;
ASV_192	0	0	0	177	84	68	0	63	188	251	78	365	77	588	0	43	45	261	70	145	224	Bacteria;Firmicutes;Clostridia;Oscillospirales;Butyricicoccaceae;Butyricicoccus;
ASV_296	19	122	128	50	37	126	19	53	0	29	0	17	64	414	27	0	5	199	25	18	45	Bacteria;Firmicutes;Clostridia;Oscillospirales;Butyricicoccaceae;Butyricicoccus;
ASV_366	0	0	0	100	36	66	0	47	0	0	48	228	0	0	0	0	0	71	0	86	189	Bacteria;Firmicutes;Clostridia;Oscillospirales;Butyricicoccaceae;Butyricicoccus;
ASV_103	83	71	292	245	157	146	0	149	258	291	477	882	362	574	163	139	493	294	171	304	340	Bacteria;Firmicutes;Clostridia;Oscillospirales;Butyricicoccaceae;UCG-009;
ASV_37	134	69	2697	1289	732	1460	1205	2591	2022	200	1809	731	559	3118	492	1300	1287	796	720	1283	375	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;;
ASV_88	65	33	89	1216	263	488	120	528	104	116	21	0	870	2536	448	169	703	0	9	341	38	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;;
ASV_102	28	62	328	574	145	43	193	263	60	85	121	290	547	1544	182	83	66	487	212	427	158	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;;
ASV_121	28	78	384	806	157	373	124	223	36	123	0	272	278	609	342	65	290	0	160	309	95	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;;
ASV_179	26	6	145	358	107	175	63	139	120	75	19	217	76	517	164	0	109	221	88	363	27	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;;
ASV_186	24	33	204	307	106	86	15	24	72	90	0	193	223	609	171	0	15	194	69	292	62	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;;
ASV_247	0	0	168	98	68	13	29	112	64	33	85	189	346	164	90	35	78	62	66	108	34	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;;
ASV_259	7	58	90	32	25	29	6	30	162	20	40	307	165	196	14	42	0	243	0	93	187	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;;
ASV_325	10	12	66	159	43	20	50	31	69	14	109	65	67	104	36	20	42	46	22	109	28	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;;
ASV_335	0	0	275	0	126	42	0	0	49	39	0	141	42	71	43	0	21	0	0	115	29	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;;
ASV_338	15	10	56	82	38	17	17	48	39	0	0	47	46	331	50	10	26	28	57	54	7	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;;
ASV_373	16	15	0	69	48	29	0	35	46	40	40	89	52	96	37	51	69	30	26	60	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;;
ASV_392	0	0	0	0	0	80	0	0	48	0	0	79	34	98	0	0	0	177	72	152	25	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;;
ASV_405	0	0	0	34	48	46	120	0	35	0	16	36	27	122	66	0	0	0	56	42	54	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;;
ASV_422	0	0	13	81	20	0	8	57	0	0	0	74	0	285	0	0	0	0	0	92	29	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;;
ASV_427	0	0	54	57	42	53	25	26	0	0	71	35	48	77	17	74	0	24	0	0	37	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;;
ASV_459	0	0	22	60	8	0	19	0	17	0	18	47	33	104	0	0	0	53	0	50	37	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;;
ASV_78	211	152	707	611	319	406	242	374	430	314	577	400	876	608	746	435	285	294	275	692	168	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Colidextribacter;
ASV_113	55	55	475	232	159	240	126	171	270	356	150	450	237	694	391	158	337	251	188	177	93	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Colidextribacter;
ASV_129	13	42	56	809	91	171	314	110	108	265	17	288	238	777	490	13	132	95	131	179	76	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Colidextribacter;
ASV_136	60	39	394	294	200	156	131	128	192	83	91	289	204	879	229	48	111	96	203	256	109	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Colidextribacter;
ASV_177	0	0	1422	110	66	88	0	29	131	0	0	72	228	167	47	0	35	0	513	84	51	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Colidextribacter;
ASV_213	39	195	79	129	70	37	81	285	84	48	443	56	112	179	34	181	21	11	118	173	8	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Colidextribacter;
ASV_253	0	0	48	56	41	116	0	0	141	23	343	53	321	63	156	84	100	0	104	129	6	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Colidextribacter;
ASV_261	18	0	122	152	98	123	13	64	157	61	0	94	152	152	116	77	87	44	36	125	17	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Colidextribacter;
ASV_265	25	58	169	62	35	43	0	66	101	42	55	419	62	211	31	53	107	24	20	39	58	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Colidextribacter;
ASV_291	0	0	64	89	66	54	0	0	94	0	201	160	74	214	62	0	0	74	105	158	46	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Colidextribacter;
ASV_311	0	0	65	179	73	60	40	85	32	88	0	72	74	288	39	0	0	57	0	27	25	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Colidextribacter;
ASV_382	0	0	0	251	69	0	0	90	0	0	0	0	0	168	0	0	0	115	0	110	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Colidextribacter;
ASV_416	16	0	119	67	0	0	0	0	34	0	0	86	81	113	0	0	25	0	0	51	85	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Colidextribacter;
ASV_451	0	0	42	43	27	42	0	32	34	0	60	58	0	0	29	0	32	27	32	52	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Colidextribacter;
ASV_147	73	40	86	465	73	102	0	338	147	41	60	266	62	631	205	154	146	279	97	399	98	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Intestinimonas;
ASV_266	20	0	168	165	129	60	58	32	56	57	0	103	122	226	69	34	38	62	109	121	23	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Intestinimonas;
ASV_353	12	21	19	59	54	101	37	45	100	49	0	59	67	53	37	0	45	48	44	39	36	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Intestinimonas;
ASV_391	0	39	0	0	56	0	0	54	46	19	67	0	64	106	94	119	73	0	28	0	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;NK4A214 group;
ASV_402	25	0	93	30	44	82	43	32	37	37	0	21	32	0	77	0	62	34	33	33	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;NK4A214 group;
ASV_96	19	39	212	575	415	84	0	94	330	130	23	301	498	1435	231	24	104	429	391	948	180	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Oscillibacter;
ASV_97	46	37	519	1220	119	146	95	38	268	282	0	469	242	1393	295	0	129	326	122	418	265	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Oscillibacter;
ASV_163	0	9	24	440	41	7	38	161	73	33	0	584	918	422	90	0	64	77	62	51	274	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Oscillibacter;
ASV_180	0	0	156	158	227	0	0	25	0	14	0	73	0	1309	229	20	40	59	17	616	59	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Oscillibacter;
ASV_260	0	0	623	94	104	0	21	74	213	71	17	0	146	83	0	19	0	75	53	117	27	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Oscillibacter;
ASV_268	0	14	224	31	38	28	9	55	74	115	21	160	71	176	52	0	80	113	43	256	61	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Oscillibacter;
ASV_307	10	0	441	0	0	109	0	0	315	15	14	274	33	0	0	0	0	0	0	0	50	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Oscillibacter;
ASV_328	0	0	36	0	0	0	0	0	0	0	0	13	17	70	0	0	0	829	0	46	59	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Oscillibacter;
ASV_362	43	0	0	110	0	0	0	0	0	0	30	0	0	108	0	0	0	560	0	0	49	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Oscillibacter;
ASV_83	70	62	169	1372	507	157	335	269	897	82	0	1190	829	1025	201	111	210	46	547	592	275	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-003;
